,arresting_agency,bail_type,bail_amt,re-entry,race,gender,city,state_x,zip,age,booking_days,treatment_days,mental_health,latitude,longitude,fips,blockgroup,county,state_y,tract,per_capita_income,poverty_stat,household_income,mortgage_stat,school_enrollment_16-19,own_children_under18,SSI_income,grandparent_care,military_service,education_25,property_value_occupied,retirement_income,rent_over_income
0,OVERLAND PARK P.D.,SUR,1500.0,0,W,M,Overland Park,KS,66212,50.0,1.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
1,JOHNSON COUNTY SHERIFF'S DEPARTMENT,SUR,2500.0,1,W,M,Overland Park,KS,66212,37.0,256.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
2,JOHNSON COUNTY SHERIFF'S DEPARTMENT,SUR,25000.0,0,W,M,Overland Park,KS,66212,58.0,10.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
3,LENEXA P.D.,SUR,25000.0,0,W,M,Overland Park,KS,66212,53.0,0.0,676.0,1,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
4,JOHNSON COUNTY SHERIFF'S DEPARTMENT,SUR,3500.0,0,W,M,Overland Park,KS,66212,32.0,0.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
5,JOHNSON COUNTY SHERIFF'S DEPARTMENT,SUR,10000.0,1,W,M,Overland Park,KS,66212,57.0,5.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
6,JOHNSON COUNTY SHERIFF'S DEPARTMENT,SUR,3500.0,0,W,F,Overland Park,KS,66212,66.0,3.0,1074.0,1,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
7,JOHNSON COUNTY SHERIFF'S DEPARTMENT,SUR,2500.0,0,B,M,Overland Park,KS,66212,38.0,322.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
8,PRAIRIE VILLAGE P.D.,SUR,3000.0,0,W,M,Overland Park,KS,66212,45.0,0.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
9,JOHNSON COUNTY SHERIFF'S DEPARTMENT,PR,1000.0,0,B,F,Overland Park,KS,66212,27.0,1.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
10,OVERLAND PARK P.D.,SUR,2500.0,1,B,M,Overland Park,KS,66212,32.0,89.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
11,JOHNSON COUNTY SHERIFF'S DEPARTMENT,SUR,3500.0,0,W,M,Overland Park,KS,66212,52.0,0.0,248.0,1,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
12,JOHNSON COUNTY SHERIFF'S DEPARTMENT,SUR,3500.0,0,W,M,Overland Park,KS,66212,52.0,0.0,1354.0,1,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
13,OVERLAND PARK P.D.,PR,1000.0,0,W,M,Overland Park,KS,66212,32.0,0.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
14,JOHNSON COUNTY SHERIFF'S DEPARTMENT,SUR,10000.0,1,W,F,Overland Park,KS,66212,32.0,0.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
15,OVERLAND PARK P.D.,PR,25000.0,1,W,M,Overland Park,KS,66212,48.0,146.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
16,OVERLAND PARK P.D.,SUR,1500.0,0,W,M,Overland Park,KS,66212,45.0,4.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
17,OVERLAND PARK P.D.,SUR,1000.0,1,W,M,Overland Park,KS,66212,37.0,1.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
18,JOHNSON COUNTY SHERIFF'S DEPARTMENT,CA,3000.0,0,W,M,Overland Park,KS,66212,36.0,1.0,1449.0,1,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
19,JOHNSON COUNTY SHERIFF'S DEPARTMENT,CA,3000.0,0,W,M,Overland Park,KS,66212,36.0,1.0,618.0,1,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
20,JOHNSON COUNTY SHERIFF'S DEPARTMENT,PR,5000.0,1,W,M,Overland Park,KS,66212,44.0,68.0,197.0,1,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
21,OVERLAND PARK P.D.,CA,1000.0,1,W,F,Overland Park,KS,66212,34.0,1.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
22,OLATHE P.D.,SUR,5000.0,1,W,M,Overland Park,KS,66212,49.0,2.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
23,JOHNSON COUNTY SHERIFF'S DEPARTMENT,SUR,2500.0,1,W,M,Overland Park,KS,66212,68.0,149.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
24,OVERLAND PARK P.D.,PR,3500.0,0,W,M,Overland Park,KS,66212,45.0,1.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
25,OVERLAND PARK P.D.,SUR,5000.0,0,W,M,Overland Park,KS,66212,37.0,0.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
26,JOHNSON COUNTY SHERIFF'S DEPARTMENT,SUR,2500.0,0,W,M,Overland Park,KS,66212,49.0,278.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
27,OLATHE P.D.,PR,2500.0,1,W,F,Overland Park,KS,66212,27.0,1.0,106.0,1,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
28,OLATHE P.D.,PR,2500.0,1,W,F,Overland Park,KS,66212,27.0,1.0,124.0,1,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
29,OVERLAND PARK P.D.,GPS,15000.0,0,W,M,Overland Park,KS,66212,34.0,5.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
30,LENEXA P.D.,SUR,1000.0,0,W,M,Overland Park,KS,66212,29.0,2.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
31,JOHNSON COUNTY SHERIFF'S DEPARTMENT,PR,3500.0,1,W,M,Overland Park,KS,66212,27.0,72.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
32,SHAWNEE P.D.,SUR,3000.0,0,W,M,Overland Park,KS,66212,35.0,1.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
33,JOHNSON COUNTY SHERIFF'S DEPARTMENT,GPS,2500.0,0,W,M,Overland Park,KS,66212,36.0,0.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
34,JOHNSON COUNTY SHERIFF'S DEPARTMENT,SUR,1000.0,1,W,F,Overland Park,KS,66212,33.0,1.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
35,OVERLAND PARK P.D.,SUR,1000.0,1,W,M,Overland Park,KS,66212,53.0,1.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
36,MISSION P.D.,SUR,15000.0,0,W,M,Overland Park,KS,66212,43.0,1.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
37,OVERLAND PARK P.D.,PR,2500.0,0,W,F,Overland Park,KS,66212,66.0,1.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
38,OVERLAND PARK P.D.,SUR,3500.0,1,B,M,Overland Park,KS,66212,46.0,2.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
39,JOHNSON COUNTY SHERIFF'S DEPARTMENT,SUR,5000.0,0,B,M,Overland Park,KS,66212,37.0,0.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
40,OLATHE P.D.,SUR,2500.0,1,W,F,Overland Park,KS,66212,29.0,26.0,540.0,1,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
41,FAIRWAY P.D.,SUR,2500.0,1,W,M,Overland Park,KS,66212,47.0,116.0,0.0,1,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
42,OVERLAND PARK P.D.,PR,1000.0,0,W,M,Overland Park,KS,66212,62.0,0.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
43,OVERLAND PARK P.D.,PR,1500.0,0,W,M,Overland Park,KS,66212,42.0,0.0,1847.0,1,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
44,JOHNSON COUNTY SHERIFF'S DEPARTMENT,SUR,500.0,0,W,F,Overland Park,KS,66212,49.0,0.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
45,OVERLAND PARK P.D.,PR,2500.0,1,W,F,Overland Park,KS,66212,28.0,1.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
46,JOHNSON COUNTY SHERIFF'S DEPARTMENT,SUR,3500.0,0,W,M,Overland Park,KS,66212,57.0,2.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
47,OVERLAND PARK P.D.,SUR,3500.0,0,W,M,Overland Park,KS,66212,41.0,0.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
48,JOHNSON COUNTY SHERIFF'S DEPARTMENT,PR,25000.0,1,W,F,Overland Park,KS,66212,32.0,42.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
49,JOHNSON COUNTY SHERIFF'S DEPARTMENT,CA,5000.0,1,W,M,Overland Park,KS,66212,49.0,13.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
50,OVERLAND PARK P.D.,SUR,2500.0,1,W,M,Overland Park,KS,66212,53.0,2.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
51,JOHNSON COUNTY SHERIFF'S DEPARTMENT,PR,5000.0,0,B,M,Overland Park,KS,66212,29.0,43.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
52,OLATHE P.D.,SUR,2500.0,1,W,M,Overland Park,KS,66212,33.0,1.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
53,JOHNSON COUNTY SHERIFF'S DEPARTMENT,SUR,5000.0,0,W,M,Overland Park,KS,66212,43.0,1.0,0.0,1,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
54,JOHNSON COUNTY SHERIFF'S DEPARTMENT,SUR,5000.0,0,W,M,Overland Park,KS,66212,64.0,0.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
55,JOHNSON COUNTY SHERIFF'S DEPARTMENT,SUR,5000.0,0,W,M,Overland Park,KS,66212,60.0,1.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
56,OVERLAND PARK P.D.,SUR,2500.0,0,W,M,Overland Park,KS,66212,39.0,142.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
57,OVERLAND PARK P.D.,SUR,100000.0,0,W,M,Overland Park,KS,66212,52.0,3.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
58,JOHNSON COUNTY SHERIFF'S DEPARTMENT,SUR,10000.0,0,W,M,Overland Park,KS,66212,49.0,0.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
59,JOHNSON COUNTY SHERIFF'S DEPARTMENT,SUR,10000.0,1,W,M,Overland Park,KS,66212,51.0,1.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
60,MERRIAM P.D.,SUR,2500.0,0,B,M,Overland Park,KS,66212,40.0,8.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
61,OVERLAND PARK P.D.,PR,2500.0,0,W,M,Overland Park,KS,66212,48.0,0.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
62,SHAWNEE P.D.,SUR,10000.0,1,W,M,Overland Park,KS,66212,37.0,1.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
63,JOHNSON COUNTY SHERIFF'S DEPARTMENT,PR,1500.0,1,W,M,Overland Park,KS,66212,27.0,0.0,707.0,1,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
64,JOHNSON COUNTY SHERIFF'S DEPARTMENT,PR,1500.0,1,W,M,Overland Park,KS,66212,27.0,0.0,1434.0,1,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
65,SHAWNEE P.D.,PR,0.0,1,W,F,Overland Park,KS,66212,29.0,138.0,540.0,1,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
66,KANSAS HIGHWAY PATROL,PR,1500.0,1,W,M,Overland Park,KS,66212,51.0,421.0,0.0,1,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
67,LEAWOOD P.D.,ORCD,2500.0,1,W,F,Overland Park,KS,66212,33.0,14.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
68,MERRIAM P.D.,SUR,10000.0,1,W,M,Overland Park,KS,66212,34.0,0.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
69,OVERLAND PARK P.D.,SUR,2500.0,0,W,M,Overland Park,KS,66212,69.0,1.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
70,OLATHE P.D.,SUR,1500.0,1,W,M,Overland Park,KS,66212,28.0,2.0,0.0,1,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
71,JOHNSON COUNTY SHERIFF'S DEPARTMENT,SUR,2500.0,1,B,M,Overland Park,KS,66212,46.0,10.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
72,OVERLAND PARK P.D.,PR,1000.0,0,B,F,Overland Park,KS,66212,44.0,0.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
73,OVERLAND PARK P.D.,PR,2500.0,0,B,F,Overland Park,KS,66212,50.0,0.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
74,JOHNSON COUNTY SHERIFF'S DEPARTMENT,SUR,5000.0,0,W,M,Overland Park,KS,66212,47.0,0.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
75,JOHNSON COUNTY SHERIFF'S DEPARTMENT,GPS,5000.0,0,W,M,Overland Park,KS,66212,47.0,0.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
76,OVERLAND PARK P.D.,SUR,5000.0,1,W,M,Overland Park,KS,66212,51.0,2.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
77,JOHNSON COUNTY SHERIFF'S DEPARTMENT,SUR,5000.0,0,W,M,Overland Park,KS,66212,36.0,0.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
78,MERRIAM P.D.,SUR,2500.0,0,W,M,Overland Park,KS,66212,33.0,1.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
79,OVERLAND PARK P.D.,SUR,3500.0,0,W,M,Overland Park,KS,66212,48.0,0.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
80,OVERLAND PARK P.D.,SUR,10000.0,1,W,M,Overland Park,KS,66212,29.0,1.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
81,JOHNSON COUNTY SHERIFF'S DEPARTMENT,SUR,5000.0,1,W,M,Overland Park,KS,66212,36.0,0.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
82,OVERLAND PARK P.D.,PR,1500.0,0,W,M,Overland Park,KS,66212,33.0,0.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
83,JOHNSON COUNTY SHERIFF'S DEPARTMENT,SUR,10000.0,0,W,M,Overland Park,KS,66212,39.0,0.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
84,OVERLAND PARK P.D.,SUR,1000.0,0,W,F,Overland Park,KS,66212,47.0,2.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
85,JOHNSON COUNTY SHERIFF'S DEPARTMENT,SUR,2500.0,1,W,F,Overland Park,KS,66212,33.0,99.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
86,OLATHE P.D.,SUR,7500.0,1,W,M,Overland Park,KS,66212,28.0,1.0,0.0,1,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
87,OVERLAND PARK P.D.,SUR,1000.0,0,W,M,Overland Park,KS,66212,32.0,0.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
88,OVERLAND PARK P.D.,PR,1000.0,0,W,F,Overland Park,KS,66212,31.0,1.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
89,JOHNSON COUNTY SHERIFF'S DEPARTMENT,SUR,2000.0,1,W,F,Overland Park,KS,66212,27.0,1.0,106.0,1,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
90,JOHNSON COUNTY SHERIFF'S DEPARTMENT,SUR,2000.0,1,W,F,Overland Park,KS,66212,27.0,1.0,124.0,1,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
91,JOHNSON COUNTY SHERIFF'S DEPARTMENT,SUR,5000.0,1,W,M,Overland Park,KS,66212,39.0,0.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
92,LENEXA P.D.,PR,2500.0,0,W,M,Overland Park,KS,66212,34.0,0.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
93,OVERLAND PARK P.D.,SUR,2500.0,0,W,M,Overland Park,KS,66212,38.0,37.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
94,JOHNSON COUNTY SHERIFF'S DEPARTMENT,SUR,2500.0,0,W,M,Overland Park,KS,66212,54.0,87.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
95,MISSION P.D.,SUR,5000.0,0,W,F,Overland Park,KS,66212,52.0,0.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
96,OVERLAND PARK P.D.,SUR,2500.0,1,B,M,Overland Park,KS,66212,44.0,19.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
97,JOHNSON COUNTY SHERIFF'S DEPARTMENT,PR,10000.0,1,W,M,Overland Park,KS,66212,34.0,0.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
98,OVERLAND PARK P.D.,SUR,5000.0,0,W,M,Overland Park,KS,66212,50.0,1.0,297.0,1,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
99,OVERLAND PARK P.D.,SUR,2500.0,1,W,M,Overland Park,KS,66212,44.0,353.0,197.0,1,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
100,MISSION P.D.,SUR,10000.0,0,W,M,Overland Park,KS,66212,37.0,1.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
101,OVERLAND PARK P.D.,SUR,2500.0,0,W,M,Overland Park,KS,66212,38.0,299.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
102,OVERLAND PARK P.D.,PR,2500.0,0,W,M,Overland Park,KS,66212,47.0,0.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
103,LENEXA P.D.,ORCD,1000.0,0,B,F,Overland Park,KS,66212,31.0,1.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
104,JOHNSON COUNTY SHERIFF'S DEPARTMENT,SUR,10000.0,0,W,M,Overland Park,KS,66212,44.0,0.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
105,JOHNSON COUNTY SHERIFF'S DEPARTMENT,PR,2500.0,1,W,F,Overland Park,KS,66212,28.0,44.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
106,OVERLAND PARK P.D.,SUR,1500.0,0,W,M,Overland Park,KS,66212,41.0,1.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
107,OVERLAND PARK P.D.,PR,2500.0,0,W,M,Overland Park,KS,66212,56.0,1.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
108,MISSION P.D.,SUR,2500.0,1,W,M,Overland Park,KS,66212,27.0,183.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
109,JOHNSON COUNTY SHERIFF'S DEPARTMENT,GPS,5000.0,0,W,M,Overland Park,KS,66212,50.0,0.0,344.0,1,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
110,OVERLAND PARK P.D.,ORCD,2000.0,0,W,M,Overland Park,KS,66212,39.0,1.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
111,OVERLAND PARK P.D.,PR,2500.0,0,W,M,Overland Park,KS,66212,70.0,1.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
112,OVERLAND PARK P.D.,SUR,5000.0,0,W,M,Overland Park,KS,66212,52.0,1.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
113,OVERLAND PARK P.D.,PR,2500.0,0,W,M,Overland Park,KS,66212,30.0,0.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
114,OVERLAND PARK P.D.,SUR,2500.0,1,B,M,Overland Park,KS,66212,44.0,41.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
115,OVERLAND PARK P.D.,SUR,5000.0,1,W,M,Overland Park,KS,66212,34.0,1.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
116,OVERLAND PARK P.D.,PR,2500.0,0,W,M,Overland Park,KS,66212,44.0,1.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
117,JOHNSON COUNTY SHERIFF'S DEPARTMENT,SUR,5000.0,0,W,M,Overland Park,KS,66212,36.0,15.0,-1.0,0,38.959606,-94.68189,200910518033010,3,91,20,51803,26836,1118,456,364,167,175,456,692,66,776,364,456,92
